life_segment,sample_count,wet_mean,wet_std,wet_min,wet_q25,wet_median,wet_q75,wet_max
0-10万,166,29.59156626506024,0.6610743907668685,26.9,29.3,29.7,30.0,31.4
10-20万,161,29.697515527950312,0.630371944822955,27.400000000000002,29.3,29.7,30.0,31.2
100-110万,16,29.93125,0.47710061831861045,28.8,29.799999999999997,30.0,30.325,30.4
110-120万,11,30.10909090909091,0.2586679162731459,29.7,29.95,30.200000000000003,30.200000000000003,30.5
20-30万,140,29.642857142857142,0.8657464743574087,27.0,29.2,29.7,30.025,32.099999999999994
30-40万,133,29.706015037593986,0.7458734353697957,27.599999999999998,29.5,29.7,30.099999999999998,32.300000000000004
40-50万,105,29.740952380952383,0.5671614947897641,28.2,29.4,29.8,30.099999999999998,31.2
50-60万,76,29.54078947368421,0.5633655134585216,27.599999999999998,29.2,29.6,29.9,30.599999999999998
60-70万,69,29.58985507246377,0.575771841948915,28.2,29.3,29.8,30.0,30.5
70-80万,61,29.677049180327867,0.6208578588326944,28.2,29.4,29.7,30.0,31.4
80-90万,47,29.493617021276595,0.6404496570240616,28.0,29.1,29.5,30.0,30.5
90-100万,26,29.592307692307692,0.61639148399249,27.900000000000002,29.4,29.55,30.0,30.4
